id,country,description,Fruity Favour,Spicy Favour,Earthy Favour,Floral Favour,Oaky Favour,Nutty Favour,Herbal Favour,Mineral Favour,Sweet Favour,Body (Weight/Texture),Acidity,Sweetness Level,Alcohol Level (Perception),Ageability,Food Pairing / Occasions,Tannins,Region/Terroir,Color,Finish,Aging Method,Climate Characteristics,Intensity/Aroma,Style,Unique/Standout Notes
50031,US,"Classic Lodi Cab, from a vintage that wasn't too hot or too cool. The wine is soft and lush, with milk chocolate and cassis flavors and the vanillins and sweet char of oak. Easy and delicious, it's a wine to drink now.",,,,,oak,,,,,medium-bodied,,,,ready to drink,casual,smooth,,,smooth,oak barrel,warm climate,pronounced,modern,
17364,US,"This late-disgorged wine has been released at the age of 11 years. It's a beautiful wine, notable especially for the ultrafine feeling of the mousse, or bubbles. So refined and silky. Rich too are the flavors, in limes, strawberries, toasty lees and minerals. A spectacular sparkling wine that has many years of development ahead.",berry,,,,toast,,,chalk,,silky,,,,long-term aging potential,celebration,,mineral,,long,,,pronounced,traditional,
74432,US,"Lots of zesty acidity in this Pinot Noir, giving the pomegranate, rhubarb, red cherry and licorice flavors a bright edge. The wine is very dry and complexly layered. Interesting now, if a bit primary in fruit, and balanced enough to develop additional nuances over the next six years.",berry,,,,,,,,,,zesty,dry,,needs aging,,,,,,,cool climate,pronounced,,zesty
16884,US,"Butterscotch and pineapple and peach jam flavors mark this Chardonnay. Fortunately, it's balanced with crisp acidity and a certain minerality. It's an obvious crowd pleaser, and would score higher except for the seemingly sweet finish.",tropical fruit,,,,,,,chalk,caramel,medium-bodied,high acidity,off-dry,,ready to drink,casual,,mineral,golden,,oak barrel,warm climate,pronounced,modern,
43557,Italy,"Fresh berries, young spice and raw notes of blueberry and raspberry color this bright blend of Montepulciano and Sangiovese from Central Italy. The wine is sharp and immediate in terms of the delivery of its easy tannins and bright, acidic finish.",berry,,,,,,,,,medium-bodied,high acidity,,,ready to drink,,low tannins,,ruby,crisp,,cool climate,pronounced,modern,zesty
91586,US,"Made from Tempranillo, this is a really pleasant rosé that shows a balance rare in California. Totally dry, crisp and relatively low in alcohol, the wine manages to be long and deep in creamy, spicy cherry, raspberry and vanilla bean flavors. Great job.",berry,cinnamon,,,vanilla,,,,,light-bodied,crisp,dry,light,ready to drink,,,,,long,,warm climate,pronounced,modern,
62250,US,"Pungent of baked plum and baking spice, this Shenandoah Barbera is soft and rustic, yet refined, with a jolt of mocha espresso on the finish. The expert acidity enveloping this wine should pair with Mediterrean-themed food.",plum,cinnamon,,,,,,,,medium-bodied,high acidity,,,ready to drink,dinner,,,,long,oak barrel,,pronounced,modern,
8235,US,"Big, bold and concentrated, this full-bodied wine was given the complete new-barrel, lees-stirring treatment. It has a deep gold color, with ripe pear and buttered toast aromas that transition to waves of pear and apple on the palate and lingering finish.",apple,,,,toast,,,,,full-bodied,,,high,needs aging,,,,golden,long,oak barrel,,intense,modern,
89202,US,"If you like 'em big and oaky, then this one's for you. Aromas and flavors of wood-grilled peaches, roasted red apples, buttery toast and rich nuttiness all generously abound. The mouth is full and slightly fat, with moderate acidity and a medium-length, smoky finish.",peach,,,,oak,hazelnut,,,,full-bodied,medium acidity,,,ready to drink,barbecue,,,,medium,oak barrel,,intense,modern,smoky
36063,US,"A mix of vineyards and AVAs go into this blended Syrah, which is co-fermented with 6% Viognier. The Viognier is definitely present, and the wine has a top end of grapefruit and citrus, adding scent, flavor and acid. It's full, forward, acidic and a little hot, and delivers plenty of flavor up front. What's not quite there is the layering of flavors that some of the other Walter Dacon Syrahs express.",citrus,,,,,,,,,full-bodied,high acidity,dry,,,,,,,,,warm climate,pronounced,modern,zesty
18116,France,"A finely structured wine, its tannin fitting well into the rich texture, with berry fruits, dark plums and bitter coffee adding an extra dimension.",plum,,,,,,,,,full-bodied,,,,needs aging,,high tannins,,,,,,intense,modern,
